Date;Auvergne-Rhne-Alpes;Bourgogne-Franche-Comt;Bretagne;Centre-Val de Loire;Grand Est;Hauts-de-France;Ile-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays de la Loire;Provence-Alpes-Cte d_zur
04/03/2020;49;16;23;0;38;65;55;2;5;9;7;13
05/03/2020;64;39;29;2;77;74;76;6;8;11;8;18
06/03/2020;75;78;32;11;136;97;89;11;11;18;16;26
07/03/2020;102;129;40;16;250;173;104;11;17;36;18;38
10/03/2020;249;123;83;19;489;249;468;40;57;70;31;110
11/03/2020;264;155;94;20;578;263;492;54;66;87;34;111
12/03/2020;329;219;117;30;699;349;577;68;87;133;41;147
13/03/2020;416;272;155;33;911;397;721;97;114;172;55;212
14/03/2020;454;339;182;54;1085;466;949;127;130;214;82;281
15/03/2020;523;412;207;71;1378;507;1209;143;144;243;98;330
16/03/2020;618;507;233;90;1543;585;1762;156;178;262;108;405
17/03/2020;710;549;247;103;1820;612;2177;174;200;311;126;478
18/03/2020;858;593;273;128;2163;665;2693;208;237;371;128;574
19/03/2020;1014;696;297;157;2643;700;3384;241;280;444;160;693
20/03/2020;1101;770;346;219;3006;759;3818;287;432;537;190;826
21/03/2020;1266;903;359;254;3089;791;4695;345;521;611;234;1041
22/03/2020;1431;1178;397;291;3395;936;5283;462;612;671;270;1372
23/03/2020;1730;1347;490;361;4256;1269;6211;511;676;767;293;1510
24/03/2020;1857;1510;526;450;4922;1532;6798;586;789;900;343;1595
25/03/2020;2093;1569;603;561;5479;1753;7660;688;912;1082;368;1927
